"eu_rnpa","economic_unit","vessel_rnpa","vessel_name","owner_rnpa","owner_name","hull_identifier","target_species","finfish","sardine","shark","shrimp","tuna","others","state","home_port","construction_year","hull_material","preservation_system","gear_type","detection_gear","vessel_type","vessel_length_m","vessel_beam_m","vessel_height_m","vessel_draft_m","vessel_gross_tonnage","captain_num","engineer_num","s_fisher_num","fisher_num","sfc_gr_kwh","engine_power_hp","engine_power_kw","imputed_engine_power","engine_power_bin_hp","design_speed_kt","brand","model","fuel_type","fleet"
"2508008238","PESCA AZTECA, SA DE CV","00054841","AZTECA 7","2508008238","PESCA AZTECA, SA DE CV","2503036233-6","ATÚN",0,0,0,0,1,0,"SINALOA","MAZATLAN",1982,"ACERO","CONGELACIÓN | SALMUERA","CERCO","ECOSONDA | HELICOPTERO | SONAR","COMERCIAL",70.7,13.1,8.7,8.7,1100,1,2,2,19,180,4000,2982.8,FALSE,3600,13.7195155336923,"E.M.D.","L20645F7B","Diesel","large scale"
"2508008238","PESCA AZTECA, SA DE CV","00042226","AZTECA 1","2508008238","PESCA AZTECA, SA DE CV","2503035533-3","ATÚN",0,0,0,0,1,0,"SINALOA","MAZATLAN",1980,"ACERO","CONGELACIÓN | SALMUERA","CERCO","ECOSONDA | HELICOPTERO | SONAR","COMERCIAL",67.4,12.1,6.83,6.4,850,1,2,2,19,180,3600,2684.52,FALSE,3600,13.4264924287807,"E.M.D.","L2064527B","Diesel","large scale"
"2508008238","PESCA AZTECA, SA DE CV","00042234","AZTECA 2","2508008238","PESCA AZTECA, SA DE CV","2503035633-8","ATÚN",0,0,0,0,1,0,"SINALOA","MAZATLAN",1980,"ACERO","CONGELACIÓN | SALMUERA","CERCO","ECOSONDA | HELICOPTERO | SONAR","COMERCIAL",68.2,12.8,13.2,13.2,930,1,2,2,19,180,3600,2684.52,FALSE,3600,13.4264924287807,"E.M.D.","L20645E7B","Diesel","large scale"
"2508008238","PESCA AZTECA, SA DE CV","00040444","AZTECA 4","2508008238","PESCA AZTECA, SA DE CV","2503035833-4","ATÚN",0,0,0,0,1,0,"SINALOA","MAZATLAN",1983,"ACERO","CONGELACIÓN | SALMUERA","CERCO","ECOSONDA | HELICOPTERO | SONAR","COMERCIAL",69.65,12.9,8.7,4.5,890,1,2,2,19,180,3600,2684.52,FALSE,3600,13.4264924287807,"E.M.D.","L20645E5","Diesel","large scale"
"2508008238","PESCA AZTECA, SA DE CV","00045930","AZTECA 8","2508008238","PESCA AZTECA, SA DE CV","2503036133-5","ATÚN",0,0,0,0,1,0,"SINALOA","MAZATLAN",1985,"ACERO","CONGELACIÓN | SALMUERA","CERCO","ECOSONDA | HELICOPTERO | SONAR","COMERCIAL",73.1,12.8,8.3,4.5,980,1,2,2,19,180,4000,2982.8,FALSE,3600,13.7195155336923,"E.M.D.","L20645F78","Diesel","large scale"
"2508008238","PESCA AZTECA, SA DE CV","00042960","AZTECA 9","2508008238","PESCA AZTECA, SA DE CV","2503036333-9","ATÚN",0,0,0,0,1,0,"SINALOA","MAZATLAN",1979,"ACERO","CONGELACIÓN | SALMUERA","CERCO","ECOSONDA | HELICOPTERO | SONAR","COMERCIAL",50.3,10.9,5.1,4.4,550,1,2,2,18,180,3070,2289.299,FALSE,3000,13.0277118771029,"E.M.D.","L16645E7B","Diesel","large scale"
"2508008238","PESCA AZTECA, SA DE CV","00043059","MAZATUN (MARIANO OTERO)","2508008238","PESCA AZTECA, SA DE CV","2503135733-1","ATÚN",0,0,0,0,1,0,"SINALOA","MAZATLAN",1982,"ACERO","CONGELACIÓN | SALMUERA","CERCO","ECOSONDA | HELICOPTERO | SONAR","COMERCIAL",71,13,8.3,4.5,980,1,2,2,19,180,3600,2684.52,FALSE,3600,13.4264924287807,"E.M.D.","GM-20L-645-E7B","Diesel","large scale"
"2508008238","PESCA AZTECA, SA DE CV","00055939","EL DORADO","2508008238","PESCA AZTECA, SA DE CV","2503181633-9","ATÚN",0,0,0,0,1,0,"SINALOA","MAZATLAN",1982,"ACERO","CONGELACIÓN | SALMUERA","CERCO","ECOSONDA | HELICOPTERO | SONAR","COMERCIAL",80.9,12.5,5.7,4.3,1200,1,2,2,19,180,3600,2684.52,FALSE,3600,13.4264924287807,"E.M.D.","L-20-645E7B","Diesel","large scale"
"2508008238","PESCA AZTECA, SA DE CV","00041277","CLIPPERTON (CABO SAN LUCAS)","2508008238","PESCA AZTECA, SA DE CV","2503193533-2","ATÚN",0,0,0,0,1,0,"SINALOA","MAZATLAN",1982,"ACERO","CONGELACIÓN | SALMUERA","CERCO","ECOSONDA | HELICOPTERO | SONAR","COMERCIAL",71,13,8.3,8.3,980,1,2,2,19,180,3600,2684.52,FALSE,3600,13.4264924287807,"E.M.D.","L20645E7B","Diesel","large scale"
"2508008238","PESCA AZTECA, SA DE CV","00043422","AZTECA 5","2508008238","PESCA AZTECA, SA DE CV","2503035933-3","ATÚN",0,0,0,0,1,0,"SINALOA","MAZATLAN",1985,"ACERO","CONGELACIÓN | SALMUERA","CERCO","ECOSONDA | HELICOPTERO | SONAR","COMERCIAL",69.2,12.9,8.4,6.7,930,1,2,2,19,180,3600,2684.52,FALSE,3600,13.4264924287807,"E.M.D.","L20645E5","Diesel","large scale"
"2508008238","PESCA AZTECA, SA DE CV","00045237","AZTECA 6","2508008238","PESCA AZTECA, SA DE CV","2503036033-3","ATÚN",0,0,0,0,1,0,"SINALOA","MAZATLAN",1986,"ACERO","CONGELACIÓN | SALMUERA","CERCO","ECOSONDA | HELICOPTERO | SONAR","COMERCIAL",69.3,12.7,5.3,4.5,930,1,2,2,19,180,3600,2684.52,FALSE,3600,13.4264924287807,"E.M.D.","L20645E5","Diesel","large scale"
"2508008238","PESCA AZTECA, SA DE CV","00038497","AZTECA 3","2508008238","PESCA AZTECA, SA DE CV","2503035733-3","ATÚN",0,0,0,0,1,0,"SINALOA","MAZATLAN",1982,"ACERO","CONGELACIÓN | SALMUERA","CERCO","ECOSONDA | HELICOPTERO | SONAR","COMERCIAL",61.88,13.1,8.6,8.6,1100,1,2,2,19,180,3600,2684.52,FALSE,3600,13.4264924287807,"E.M.D.","L20645E7B","Diesel","large scale"
"2508008238","PESCA AZTECA, SA DE CV","00056077","FRANZ","2508008238","PESCA AZTECA, SA DE CV","2503196533-9","ATÚN",0,0,0,0,1,0,"SINALOA","MAZATLAN",2006,"ACERO","CONGELACIÓN | SALMUERA","CERCO","ECOSONDA | HELICOPTERO | SONAR","COMERCIAL",78.3,13.6,8,4.3,1200,1,2,2,19,180,5000,3728.5,FALSE,3600,14.4221789710817,"E.M.D.","GM20-710GTE","Diesel","large scale"
"2508008238","PESCA AZTECA, SA DE CV","00056119","HANNA","2508008238","PESCA AZTECA, SA DE CV","2503197133-2","ATÚN",0,0,0,0,1,0,"SINALOA","MAZATLAN",2006,"ACERO","CONGELACIÓN | SALMUERA","CERCO","ECOSONDA | HELICOPTERO | SONAR","COMERCIAL",78.33,13.64,8.06,4.3,1210,1,2,2,19,180,5000,3728.5,FALSE,3600,14.4221789710817,"E.M.D.","GM20-710G7B","Diesel","large scale"
"3010003014","INMOBILIARIA OFFSHORE SA DE CV","00066258","WAHOO","3010003014","INMOBILIARIA OFFSHORE SA DE CV","30017609237","ATÚN",0,0,0,0,1,0,"VERACRUZ","TUXPAN",1967,"ACERO","HIELO","PALANGRE","VIDEOSONDA","COMERCIAL",20.2,6.15,3.32,3,45,1,1,0,3,220,402,299.7714,FALSE,402,10.8380754339523,"CATERPILLAR","CAT 3408 PC","Diesel","large scale"
"3010002669","K & B TUNA SA DE CV","00066241","O-TORO","3010002669","K & B TUNA SA DE CV","30017610239","ATÚN",0,0,0,0,1,0,"VERACRUZ","TUXPAN",1987,"ACERO","HIELO","PALANGRE","VIDEOSONDA","COMERCIAL",22.22,6.82,2.86,3,40,1,1,0,4,220,540,402.678,FALSE,525,10.9587877089223,"CATERPILLAR","3412","Diesel","large scale"
"0203014766","JAIME   CABRALES  MARTINEZ","00047795","BIP VI","0203014766","JAIME   CABRALES  MARTINEZ","2012790204","OTRAS",0,0,0,0,0,1,"BAJA CALIFORNIA","ENSENADA",1982,"FIBRA DE VIDRIO","HIELO","OTRO","SONAR","COMERCIAL",12.2,4.1,2.1,0,0,1,1,2,1,220,270,201.339,FALSE,250,10.7218504946643,"CATERPILLAR","3208","Diesel","large scale"
